Z initial: 2.356194490192345
current_angle, i, d, x, y, x_next, y_next, z, z_next, z_deg, z_deg_next
0.0,0,1,1,0,1,1,2.356194490192345,1.5707963267948966,135.0,90.0
45.0,1,1,1,1,0.5,1.5,1.5707963267948966,1.1071487177940904,90.0,63.43494882292201
71.56505117707799,2,1,0.5,1.5,0.125,1.625,1.1071487177940904,0.8621700546672263,63.43494882292201,49.39870535499553
85.60129464500447,3,1,0.125,1.625,-0.078125,1.640625,0.8621700546672263,0.7378150601204648,49.39870535499553,42.27368900609373
-87.27368900609375,4,1,-0.078125,1.640625,-0.1806640625,1.6357421875,0.7378150601204648,0.6753962501245074,42.27368900609373,38.69735463109638
-83.6973546310964,5,1,-0.1806640625,1.6357421875,-0.231781005859375,1.630096435546875,0.6753962501245074,0.6441564166942392,38.69735463109638,36.907444022850314
-81.90744402285031,6,1,-0.231781005859375,1.630096435546875,-0.2572512626647949,1.6264748573303223,0.6441564166942392,0.6285326880737624,36.907444022850314,36.01227031263924
-81.01227031263925,7,1,-0.2572512626647949,1.6264748573303223,-0.26995809748768806,1.6244650818407536,0.6285326880737624,0.6207203470136613,36.01227031263924,35.564656141778684
-80.56465614177868,8,1,-0.26995809748768806,1.6244650818407536,-0.2763036642136285,1.6234105580224423,0.6207203470136613,0.6168141168816943,35.564656141778684,35.34084564141015
-80.34084564141014,9,1,-0.2763036642136285,1.6234105580224423,-0.2794743879597661,1.622870902428275,0.6168141168816943,0.6148609943652155,35.34084564141015,35.22893996434394
-80.22893996434395,10,1,-0.2794743879597661,1.622870902428275,-0.28105922282541873,1.6225979782212832,0.6148609943652155,0.6138844321756561,35.22893996434394,35.172987072450134
-80.17298707245014,11,1,-0.28105922282541873,1.6225979782212832,-0.2818515069944721,1.622460742272638,0.6138844321756561,0.6133961509644612,35.172987072450134,35.14501061983313
-80.14501061983314,12,1,-0.2818515069944721,1.622460742272638,-0.2822476155741285,1.6223919308695631,0.6133961509644612,0.6131520103443119,35.14501061983313,35.131022392690866
-80.13102239269087,13,1,-0.2822476155741285,1.6223919308695631,-0.2824456614641272,1.6223574768149276,0.6131520103443119,0.6130299400324182,35.131022392690866,35.12402827901551
-80.12402827901552,14,1,-0.2824456614641272,1.6223574768149276,-0.28254468230621793,1.622340237699848,0.6130299400324182,0.612968904876244,35.12402827901551,35.12053122216481
-80.12053122216481,15,1,-0.28254468230621793,1.622340237699848,-0.28259419220116727,1.622331615120432,0.612968904876244,0.6129383872981284,35.12053122216481,35.11878269373783
-80.11878269373784,16,1,-0.28259419220116727,1.622331615120432,-0.2826189470170718,1.6223273030752627,0.6129383872981284,0.6129231285090672,35.11878269373783,35.117908429524135
-80.11790842952415,17,1,-0.2826189470170718,1.6223273030752627,-0.2826313243921258,1.622325146863814,0.6129231285090672,0.612915499114536,35.117908429524135,35.11747129741726
-80.11747129741727,18,1,-0.2826313243921258,1.622325146863814,-0.2826375130714275,1.6223240687108738,0.612915499114536,0.6129116844172704,35.11747129741726,35.11725273136382
-80.11725273136383,19,1,-0.2826375130714275,1.6223240687108738,-0.2826406074090219,1.6223235296225995,0.6129116844172704,0.6129097770686376,35.11725273136382,35.1171434483371
Output
