Z initial: -1.0471975511965976
current_angle, i, d, x, y, x_next, y_next, z, z_next, z_deg, z_deg_next
0.0,0,-1,1,0,1,-1,-1.0471975511965976,-0.26179938779914935,-59.99999999999999,-14.999999999999996
-45.0,1,-1,1,-1,0.5,-1.5,-0.26179938779914935,0.20184822120165674,-14.999999999999996,11.565051177077992
-71.56505117707799,2,1,0.5,-1.5,0.875,-1.375,0.20184822120165674,-0.0431304419252074,11.565051177077992,-2.471192290848485
-57.528807709151515,3,-1,0.875,-1.375,0.703125,-1.484375,-0.0431304419252074,0.08122455262155404,-2.471192290848485,4.653824058053313
-64.6538240580533,4,1,0.703125,-1.484375,0.7958984375,-1.4404296875,0.08122455262155404,0.018805742625596686,4.653824058053313,1.0774896830559615
-61.077489683055965,5,1,0.7958984375,-1.4404296875,0.840911865234375,-1.415557861328125,0.018805742625596686,-0.012434090804671592,1.0774896830559615,-0.7124209251901078
-59.28757907480989,6,-1,0.840911865234375,-1.415557861328125,0.818793773651123,-1.428697109222412,-0.012434090804671592,0.0031896378158052397,-0.7124209251901078,0.18275278502096648
-60.18275278502096,7,1,0.818793773651123,-1.428697109222412,0.8299554698169231,-1.4223002828657627,0.0031896378158052397,-0.0046227032442958714,0.18275278502096648,-0.26486138583958657
-59.73513861416041,8,-1,0.8299554698169231,-1.4223002828657627,0.8243996093369788,-1.425542296419735,-0.0046227032442958714,-0.0007164731123288997,-0.26486138583958657,-0.041050885471048494
-59.95894911452895,9,-1,0.8243996093369788,-1.425542296419735,0.821615347039284,-1.4271524519067214,-0.0007164731123288997,0.001236649404149919,-0.041050885471048494,0.0708547915951584
