Z initial: 0.7853981633974483
current_angle, i, d, x, x_next, y, y_next, z, z_next, z_deg, z_deg_next
0.0,0,1,1,1,0,1,0.7853981633974483,0.0,45.0,0.0
45.0,1,1,1,0.5,1,1.5,0.0,-0.4636476090008061,0.0,-26.56505117707799
71.56505117707799,2,-1,0.5,0.875,1.5,1.375,-0.4636476090008061,-0.21866894587394195,-26.56505117707799,-12.528807709151511
57.528807709151515,3,-1,0.875,1.046875,1.375,1.265625,-0.21866894587394195,-0.09431395132718051,-12.528807709151511,-5.403791360249713
50.40379136024971,4,-1,1.046875,1.1259765625,1.265625,1.2001953125,-0.09431395132718051,-0.03189514133122316,-5.403791360249713,-1.8274569852523612
46.82745698525237,5,-1,1.1259765625,1.163482666015625,1.2001953125,1.165008544921875,-0.03189514133122316,-0.0006553079009548844,-1.8274569852523612,-0.03754637700629185
45.037546377006294,6,-1,1.163482666015625,1.1816859245300293,1.165008544921875,1.1468291282653809,-0.0006553079009548844,0.014968420719521947,-0.03754637700629185,0.8576273332047826
44.142372666795225,7,1,1.1816859245300293,1.172726321965456,1.1468291282653809,1.1560610495507717,0.014968420719521947,0.007156079659420836,0.8576273332047826,0.41001316234422946
44.58998683765577,8,1,1.172726321965456,1.1682104584906483,1.1560610495507717,1.1606420117459493,0.007156079659420836,0.003249849527453864,0.41001316234422946,0.18620266197569138
44.813797338024315,9,1,1.1682104584906483,1.165943579561457,1.1606420117459493,1.1629236727976888,0.003249849527453864,0.0012967270109750452,0.18620266197569138,0.07429698490948447
Output
